Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RICTOR	1	1	2874	<0.1%	Yes
HCCAT5	1	1	3592	<0.1%	No
SRGAP2	1	1	3592	<0.1%	No
ARF3	1	1	3592	<0.1%	No
STON2	1	1	3592	<0.1%	No
SPECC1L	2	2	3592	<0.1%	No
LRCH1	1	1	3592	<0.1%	No
PDGFRB	7	7	3282	0.2%	Yes
RHEB	1	1	2785	<0.1%	Yes
KMT2B	3	3	1556	0.2%	Yes
RMRP	1	1	54	1.9%	No
SMAD2	1	1	3242	<0.1%	Yes
SMAD3	3	2	2145	<0.1%	Yes
TMSB4X	1	1	3592	<0.1%	No
ACAT1	1	1	3592	<0.1%	No
SMAD4	2	2	3587	<0.1%	Yes
TMPRSS2	6	5	2820	0.2%	Yes
NCOA3	2	2	1934	0.1%	Yes
EXOC1L	1	1	3592	<0.1%	No
PPWD1	1	1	3592	<0.1%	No
PARP1	3	3	2098	0.1%	Yes
ZDHHC17	1	1	3592	<0.1%	No
RHOA	1	1	2840	<0.1%	Yes
CIC	15	14	2886	0.5%	Yes
CERT1	2	2	3592	<0.1%	No
PCLAF	1	1	3592	<0.1%	No
ASIC2	1	1	3592	<0.1%	No
AMER1	1	1	2287	<0.1%	Yes
FAAP20	1	1	577	0.2%	No
CLASP2	1	1	3592	<0.1%	No
LOC101927314	1	1	3592	<0.1%	No
LRRIQ1	2	2	3592	<0.1%	No
SUFU	2	2	3219	<0.1%	Yes
DMC1	1	1	577	0.2%	No
ACTA2	1	1	3592	<0.1%	No
CREB3L2	11	11	34	32.4%	Yes
KLF4	1	1	2720	<0.1%	Yes
KDM6B	2	2	437	0.5%	No
AP2A1	1	1	3592	<0.1%	No
MEAF6	1	1	10	10.0%	No
ARHGEF18	1	1	3592	<0.1%	No
CRTC1	3	3	981	0.3%	Yes
LRRK2	1	1	66	1.5%	Yes
TNFAIP3	4	3	3219	<0.1%	Yes
ACTB	1	1	89	1.1%	Yes
DSCAM	2	2	3592	<0.1%	No
WDR90	1	1	63	1.6%	Yes
ZRSR2	3	2	3020	<0.1%	Yes
TRIP10	1	1	3592	<0.1%	No
ILRUN	1	1	3592	<0.1%	No
AKAP8	1	1	3592	<0.1%	No
SYNE1	2	2	204	1.0%	No
FNDC3B	1	1	3592	<0.1%	No
SMCHD1	1	1	3592	<0.1%	No
PRPF40B	2	2	439	0.5%	No
EPYC	1	1	3592	<0.1%	No
PTPRT	2	2	2173	<0.1%	Yes
FAF1	1	1	63	1.6%	Yes
FEV	1	1	38	2.6%	Yes
KDM5C	3	3	3114	<0.1%	Yes
TP53	52	48	3590	1.3%	Yes
BABAM2	1	1	577	0.2%	No
PATZ1	2	2	6	33.3%	Yes
TOP1	1	1	2261	<0.1%	Yes
GSK3B	1	1	2258	<0.1%	Yes
NACC2	1	1	3592	<0.1%	No
ZNF595	1	1	3592	<0.1%	No
SPPL2B	1	1	3592	<0.1%	No
HOOK3	2	1	49	2.0%	Yes
PPFIBP1	1	1	3592	<0.1%	Yes
USP8	1	1	577	0.2%	Yes
CTNNBL1	1	1	3592	<0.1%	No
PIK3R6	1	1	3592	<0.1%	No
BTBD11	1	1	3592	<0.1%	No
ATXN7L3B	3	3	3592	<0.1%	No
KLLN	1	1	577	0.2%	No
ATRNL1	1	1	3592	<0.1%	No
SACS	1	1	3592	<0.1%	No
AGAP10P	1	1	3592	<0.1%	No
DAXX	1	1	2710	<0.1%	Yes
DVL2	2	2	3592	<0.1%	No
TPR	3	2	49	4.1%	Yes
MTA1	1	1	577	0.2%	No
TPM3	4	3	123	2.4%	Yes
YPEL1	1	1	3592	<0.1%	No
SLC9A3R2	1	1	3592	<0.1%	No
NUP214	2	2	152	1.3%	Yes
SF3A3	1	1	3592	<0.1%	No
BICC1	1	1	3592	<0.1%	No
MSH6	3	3	3293	<0.1%	Yes
IL1RAPL2	1	1	3592	<0.1%	No
ROS1	17	16	3372	0.5%	Yes
TRAF3	1	1	831	0.1%	Yes
SHOC2	1	1	1386	<0.1%	Yes
ADAM12	1	1	3592	<0.1%	No
NRXN3	1	1	3592	<0.1%	No
NUP107	2	2	3592	<0.1%	No
FAM155A	1	1	3592	<0.1%	No
MFSD11	1	1	3592	<0.1%	No
DCN	1	1	3592	<0.1%	No
KIT	1	1	3592	<0.1%	Yes
GNPTAB	1	1	3592	<0.1%	No
SHPRH	1	1	3592	<0.1%	No
DCC	1	1	198	0.5%	No
PDCD1LG2	2	2	2573	<0.1%	Yes
DCTN1	1	1	3592	<0.1%	Yes
CD276	3	3	1976	0.2%	Yes
ARID1A	2	2	3282	<0.1%	Yes
PBRM1	1	1	3114	<0.1%	Yes
CENPP	1	1	3592	<0.1%	No
GLI1	12	12	2895	0.4%	Yes
NTRK1	25	21	3276	0.6%	Yes
NTRK2	3	3	3246	<0.1%	Yes
NTRK3	9	9	3275	0.3%	Yes
DDB2	1	1	1061	<0.1%	Yes
GUCY1B2	1	1	3592	<0.1%	No
FASTK	1	1	3592	<0.1%	No
BBC3	1	1	1976	<0.1%	Yes
DDIT3	34	34	226	15.0%	Yes
GLI2	1	1	1087	<0.1%	No
PAK5	3	3	2053	0.1%	Yes
KPNA3	1	1	3592	<0.1%	No
GTSF1	1	1	3592	<0.1%	No
CTC1	1	1	3592	<0.1%	No
DDR2	1	1	3308	<0.1%	Yes
EEF1AKNMT	1	1	3592	<0.1%	No
CHST11	1	1	3592	<0.1%	No
DSCR10	1	1	3592	<0.1%	No
BCAN	2	2	3592	<0.1%	No
GYPC	1	1	3592	<0.1%	No
OTOGL	1	1	3592	<0.1%	No
KRAS	2	2	3592	<0.1%	Yes
SLITRK4	1	1	3592	<0.1%	No
GUSBP1	1	1	3592	<0.1%	No
LINC01287	1	1	3592	<0.1%	No
ZNF77	1	1	3592	<0.1%	No
CSF1R	2	2	2901	<0.1%	Yes
GNA11	1	1	3510	<0.1%	Yes
TTC23	1	1	3592	<0.1%	No
SLC39A11	1	1	3592	<0.1%	No
FUS	44	43	1104	3.9%	Yes
LARP4B	1	1	2	50.0%	Yes
YEATS4	1	1	3592	<0.1%	No
MAP3K13	3	3	2055	0.1%	Yes
KMT2D	16	15	3191	0.5%	Yes
CRTC2	1	1	357	0.3%	No
GNAS	5	5	3564	0.1%	Yes
FYB1	1	1	3592	<0.1%	No
LINC01446	1	1	3592	<0.1%	No
CSF3R	1	1	2947	<0.1%	Yes
PTPRR	2	2	3592	<0.1%	No
PTPRS	4	4	1976	0.2%	Yes
NSD3	4	3	1992	0.2%	Yes
