Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
GSK3B		3q13.33	HOMDEL	1	535	0.2%	Yes
MYD88		3p22.2	HOMDEL	1	678	0.1%	Yes
TSHR		14q31.1	AMP	1	618	0.2%	Yes
MED12		Xq13.1	HOMDEL	1	624	0.2%	Yes
GATA1		Xp11.23	HOMDEL	1	536	0.2%	Yes
MAP2K2		19p13.3	AMP	3	625	0.5%	Yes
KDM6A		Xp11.3	HOMDEL	1	673	0.1%	Yes
HIST1H3I		6p22.1	HOMDEL	1	483	0.2%	Yes
GID4		17p11.2|17p11.2	AMP	2	12	16.7%	Yes
ANKRD11		16q24.3	AMP	1	483	0.2%	Yes
GNA12		7p22.3-p22.2	AMP	1	11	9.1%	Yes
GATA1		Xp11.23	AMP	2	536	0.4%	Yes
H3F3C		12p11.21	HOMDEL	1	523	0.2%	Yes
ZRSR2		Xp22.2	HOMDEL	3	631	0.5%	Yes
GNA11		19p13.3	HOMDEL	2	679	0.3%	Yes
PIK3CD		1p36.22	AMP	1	531	0.2%	Yes
PTPRD		9p24.1-p23	HOMDEL	4	569	0.7%	Yes
HIST1H3G		6p22.2	AMP	2	483	0.4%	Yes
NSD3		8p11.23	AMP	6	452	1.3%	Yes
FANCC		9q22.32	HOMDEL	1	672	0.1%	Yes
SOCS1		16p13.13	HOMDEL	1	672	0.1%	Yes
KRAS		12p12.1	AMP	10	687	1.5%	Yes
RAB35		12q24.23	AMP	1	483	0.2%	Yes
DNMT3B		20q11.21	AMP	1	523	0.2%	Yes
PTPRO		12p12.3|12p13-p12	AMP	2	11	18.2%	Yes
SDHA		5p15.33	HOMDEL	1	662	0.2%	Yes
PTCH1		9q22.32	AMP	2	687	0.3%	Yes
PLCG2		16q23.3	HOMDEL	2	495	0.4%	Yes
ERBB4		2q34	HOMDEL	2	679	0.3%	Yes
HIST1H3I		6p22.1	AMP	2	483	0.4%	Yes
HIST1H3G		6p22.2	HOMDEL	2	483	0.4%	Yes
PBRM1		3p21.1	HOMDEL	2	662	0.3%	Yes
ARID5B		10q21.2	AMP	1	523	0.2%	Yes
FOXP1		3p13	HOMDEL	3	543	0.6%	Yes
NSD1		5q35.3	AMP	4	626	0.6%	Yes
DNMT1		19p13.2	AMP	10	523	1.9%	Yes
DCUN1D1		3q26.33	AMP	1	523	0.2%	Yes
AKT1		14q32.33	HOMDEL	1	687	0.1%	Yes
GATA2		3q21.3	HOMDEL	2	624	0.3%	Yes
NUP93		16q13	AMP	1	495	0.2%	Yes
CDC73		1q31.2	AMP	1	680	0.1%	Yes
HIST1H1C		6p22.2	HOMDEL	2	534	0.4%	Yes
PNRC1		6q15	AMP	1	589	0.2%	Yes
FGFR3		4p16.3	HOMDEL	2	687	0.3%	Yes
IRS2		13q34	AMP	2	536	0.4%	Yes
GNAS		20q13.32	AMP	1	679	0.1%	Yes
PIM1		6p21.2	HOMDEL	1	679	0.1%	Yes
TBX3		12q24.21	AMP	1	535	0.2%	Yes
HIST1H3H		6p22.1	AMP	2	483	0.4%	Yes
RICTOR		5p13.1	AMP	3	625	0.5%	Yes
DDR2		1q23.3	AMP	7	679	1.0%	Yes
JAZF1		7p15.2-p15.1	AMP	1	91	1.1%	Yes
NKX3-1		8p21.2	AMP	1	606	0.2%	Yes
LYN		8q12.1	HOMDEL	1	362	0.3%	Yes
FANCA		16q24.3	HOMDEL	2	679	0.3%	Yes
E2F3		6p22.3	AMP	1	523	0.2%	Yes
RYBP		3p13	AMP	1	523	0.2%	Yes
SUFU		10q24.32	HOMDEL	1	673	0.1%	Yes
DICER1		14q32.13	AMP	2	661	0.3%	Yes
CYLD		16q12.1	HOMDEL	1	499	0.2%	Yes
HIST2H3D		1q21.2	AMP	8	483	1.7%	Yes
CSF1R		5q32	AMP	1	593	0.2%	Yes
PTPRS		19p13.3	AMP	3	523	0.6%	Yes
CD274		9p24.1	AMP	3	680	0.4%	Yes
HIST1H2BD		6p22.2	HOMDEL	2	523	0.4%	Yes
DROSHA		5p13.3	AMP	3	361	0.8%	Yes
EPHA3		3p11.1	HOMDEL	2	590	0.3%	Yes
GNA11		19p13.3	AMP	1	679	0.1%	Yes
HIST1H3J		6p22.1	HOMDEL	1	483	0.2%	Yes
HNF1A		12q24.31	AMP	1	678	0.1%	Yes
ACVR1		2q24.1	AMP	2	566	0.4%	Yes
HIST1H3J		6p22.1	AMP	1	483	0.2%	Yes
CTNNB1		3p22.1	HOMDEL	1	687	0.1%	Yes
