Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ESR1		18	18	4104	0.4%	Yes
DOCK8		31	29	660	4.4%	No
CBLC		1	1	94	1.1%	Yes
BIRC3		10	10	2425	0.4%	Yes
XIAP		2	2	2507	<0.1%	Yes
SF1		9	8	501	1.6%	No
TP63		21	18	2678	0.7%	Yes
KNSTRN		1	1	2005	<0.1%	Yes
PML		15	15	841	1.8%	Yes
FUBP1		9	7	2806	0.2%	Yes
MITF		20	20	4035	0.5%	Yes
PDCD1		5	5	2685	0.2%	Yes
MKI67		3	3	108	2.8%	Yes
PMS1		23	23	3854	0.6%	Yes
PTCH2		3	3	224	1.3%	No
JAZF1		2	2	924	0.2%	Yes
BARD1		20	20	3560	0.6%	Yes
SLC34A2		15	14	679	2.1%	Yes
EGLN1		1	1	660	0.2%	No
MED12		83	74	3597	2.1%	Yes
U2AF1		10	10	3997	0.3%	Yes
SQSTM1		1	1	296	0.3%	No
IKZF1		36	34	3948	0.9%	Yes
TSHZ3		4	4	216	1.9%	No
MAP3K9		6	6	227	2.6%	No
SOCS1		14	13	4003	0.3%	Yes
ZNF708		1	1	411	0.2%	No
KMT2A		105	102	4053	2.5%	Yes
MAGED1		2	2	80	2.5%	Yes
MLH1		33	30	4500	0.7%	Yes
CCND1		9	9	3998	0.2%	Yes
BCL2		10	6	3953	0.2%	Yes
FAS		10	10	1303	0.8%	Yes
BCL2L1		4	4	3858	0.1%	Yes
SLC45A3		4	4	94	4.3%	Yes
RHPN2		3	3	411	0.7%	No
SHH		2	2	217	0.9%	No
SPOP		11	11	3595	0.3%	Yes
ABCB11		20	19	661	2.9%	No
PMS2		19	18	3811	0.5%	Yes
IRS2		29	27	2935	0.9%	Yes
LYN		6	6	1768	0.3%	Yes
PDGFRA		31	30	4504	0.7%	Yes
SH2D1A		5	5	3223	0.2%	Yes
PASK		2	2	77	2.6%	Yes
MUS81		8	8	660	1.2%	No
AR		60	55	4086	1.3%	Yes
ARAF		13	13	4007	0.3%	Yes
RRAS		2	2	1963	0.1%	Yes
ABL1		32	29	4458	0.7%	Yes
RXRA		3	3	1747	0.2%	Yes
ABL2		1	1	318	0.3%	Yes
RIT1		5	5	3394	0.1%	Yes
RICTOR		32	31	3603	0.9%	Yes
EPCAM		10	10	3399	0.3%	Yes
NCSTN		1	1	87	1.1%	Yes
PDGFRB		73	65	4084	1.6%	Yes
HDAC4		4	4	334	1.2%	Yes
RHEB		2	2	3466	<0.1%	Yes
KMT2B		39	35	1982	1.8%	Yes
NCKAP5		6	5	216	2.3%	No
DDX41		6	5	218	2.3%	Yes
SMAD2		11	11	4035	0.3%	Yes
SMAD3		5	5	2743	0.2%	Yes
SMAD4		8	7	4507	0.2%	Yes
TMPRSS2		16	16	3519	0.5%	Yes
NCOA3		15	15	2482	0.6%	Yes
PDPK1		9	8	2515	0.3%	Yes
PARP1		11	11	2655	0.4%	Yes
RHOA		4	4	3568	0.1%	Yes
CIC		79	68	3624	1.9%	Yes
DPYD		1	1	151	0.7%	No
RAD54L		9	7	2605	0.3%	Yes
SDHAF2		4	4	3594	0.1%	Yes
AMER1		30	24	2934	0.8%	Yes
CUL3		8	8	2749	0.3%	Yes
FAAP20		3	3	660	0.5%	No
LZTR1		3	3	236	1.3%	Yes
PGBD3		9	9	4512	0.2%	No
ARHGAP35		19	16	876	1.8%	Yes
RASGEF1A		1	1	77	1.3%	Yes
ARHGEF12		15	14	696	2.0%	Yes
SMYD3		4	4	1747	0.2%	Yes
RAD54B		11	11	660	1.7%	No
MAF		3	2	819	0.2%	Yes
RHOH		5	4	753	0.5%	Yes
TGM7		1	1	58	1.7%	No
SUFU		24	23	4004	0.6%	Yes
DMC1		3	3	660	0.5%	No
GRIN2A		40	32	2892	1.1%	Yes
KLF4		10	10	3399	0.3%	Yes
PHF8		3	3	89	3.4%	No
KDM6B		19	18	499	3.6%	No
RNASEL		1	1	58	1.7%	No
CRTC1		10	10	1132	0.9%	Yes
LRRK2		1	1	80	1.3%	Yes
GRM8		1	1	58	1.7%	No
TNFAIP3		24	24	4004	0.6%	Yes
CLTCL1		6	5	125	4.0%	Yes
WDR90		1	1	77	1.3%	Yes
GRM3		2	2	238	0.8%	Yes
ZRSR2		19	19	3724	0.5%	Yes
UROD		5	5	660	0.8%	No
SYNE1		22	19	280	6.8%	No
PRPF40B		8	8	501	1.6%	No
PTPRT		45	43	2780	1.5%	Yes
STAG1		5	5	506	1.0%	Yes
ABRAXAS1		6	6	3196	0.2%	Yes
TOP2A		2	2	236	0.8%	No
KDM5C		35	34	3888	0.9%	Yes
SMC1A		2	2	807	0.2%	Yes
TP53BP1		42	40	2500	1.6%	Yes
TP53		1022	926	4510	20.5%	Yes
BABAM2		4	4	660	0.6%	No
TOP1		12	12	2918	0.4%	Yes
RBM10		23	23	3403	0.7%	Yes
DUSP2		1	1	296	0.3%	Yes
GSK3B		6	6	2894	0.2%	Yes
ZNRF3		12	12	666	1.8%	Yes
USP9X		2	2	59	3.4%	No
DUSP4		3	3	1963	0.2%	Yes
NR4A3		2	2	50	4.0%	Yes
USP8		11	11	660	1.7%	Yes
NR0B1		3	3	660	0.5%	No
CHD5		3	3	217	1.4%	No
PPM1D		15	15	3186	0.5%	Yes
SHQ1		3	3	2507	0.1%	Yes
CYSLTR2		4	3	1749	0.2%	Yes
C1ORF147		1	1	4512	<0.1%	No
AJUBA		1	1	217	0.5%	Yes
KLLN		1	1	660	0.2%	No
ACVR1		13	13	3198	0.4%	Yes
FAN1		6	5	660	0.8%	No
GSTM5		2	2	411	0.5%	No
DAXX		24	24	3378	0.7%	Yes
LATS1		22	16	2507	0.6%	Yes
TPR		2	2	63	3.2%	Yes
SLIT2		3	3	236	1.3%	No
MTA1		8	8	660	1.2%	No
MLLT10		8	7	182	3.8%	Yes
JMJD1C		1	1	58	1.7%	No
NUP214		5	5	182	2.7%	Yes
SETBP1		34	31	1471	2.1%	Yes
GPC3		7	7	1391	0.5%	Yes
BRD3		16	16	810	2.0%	Yes
MSH6		65	60	4096	1.5%	Yes
ROS1		125	106	4188	2.5%	Yes
TRAF3		6	6	998	0.6%	Yes
TRAF2		5	5	2371	0.2%	Yes
SHOC2		6	6	1747	0.3%	Yes
SMC3		16	15	1466	1.0%	Yes
GOPC		3	3	106	2.8%	Yes
ROBO1		7	6	224	2.7%	Yes
RIF1		27	27	660	4.1%	No
KIT		34	33	4512	0.7%	Yes
DCC		7	6	274	2.2%	No
E2F3		5	5	2507	0.2%	Yes
PDCD1LG2		14	14	3156	0.4%	Yes
EBF1		1	1	299	0.3%	Yes
CD276		11	9	2507	0.4%	Yes
ARID1A		118	113	4084	2.8%	Yes
PBRM1		52	51	3888	1.3%	Yes
GLI1		46	44	3589	1.2%	Yes
GUCY1A2		1	1	59	1.7%	No
NTRK1		48	48	4078	1.2%	Yes
NTRK2		35	34	4037	0.8%	Yes
NTRK3		53	47	4077	1.2%	Yes
DDB2		4	4	1220	0.3%	Yes
DDB1		9	9	660	1.4%	No
BBC3		6	6	2507	0.2%	Yes
ZNF703		3	3	324	0.9%	Yes
GLI3		11	9	411	2.2%	No
GLI2		48	45	1286	3.5%	No
NTHL1		5	5	2407	0.2%	Yes
HIST3H3		1	1	2254	<0.1%	Yes
PAK5		27	24	2596	0.9%	Yes
TRRAP		1	1	145	0.7%	Yes
NUMA1		1	1	94	1.1%	Yes
TCF7L1		4	4	468	0.9%	No
DDX3X		3	3	305	1.0%	Yes
NUP98		8	7	249	2.8%	Yes
KMT5A		1	1	1754	<0.1%	Yes
DDR2		33	31	4116	0.8%	Yes
EXO1		10	10	660	1.5%	No
MCM8		9	9	660	1.4%	No
SESN2		2	2	1747	0.1%	Yes
BCL11B		24	20	916	2.2%	Yes
RINT1		5	5	660	0.8%	No
KRAS		68	66	4512	1.5%	Yes
FGF23		1	1	331	0.3%	Yes
CSF1R		27	26	3726	0.7%	Yes
GNA11		11	11	4379	0.3%	Yes
FUS		10	10	1312	0.8%	Yes
BRCC3		3	3	748	0.4%	No
MAP3K13		18	18	2598	0.7%	Yes
KMT2D		235	197	3947	5.0%	Yes
CRTC2		2	2	411	0.5%	No
GNAS		28	26	4476	0.6%	Yes
INHBA		6	6	2576	0.2%	Yes
FYN		5	5	2565	0.2%	Yes
GNAQ		14	14	4386	0.3%	Yes
INHA		4	2	2254	<0.1%	Yes
CSF3R		23	21	3649	0.6%	Yes
LUC7L2		2	1	90	1.1%	No
PTPRO		1	1	82	1.2%	Yes
PTPRS		35	30	2507	1.2%	Yes
NSD3		13	13	2444	0.5%	Yes
