Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PTCH2		1	1	160	0.6%	No
JAZF1		2	2	768	0.3%	Yes
BARD1		20	20	2841	0.7%	Yes
SLC34A2		13	12	593	2.0%	Yes
EGLN1		1	1	577	0.2%	No
MED12		71	66	2869	2.3%	Yes
U2AF1		10	10	3215	0.3%	Yes
SQSTM1		1	1	252	0.4%	No
IKZF1		30	28	3163	0.9%	Yes
TSHZ3		3	3	154	1.9%	No
MAP3K9		3	3	165	1.8%	No
SOCS1		10	9	3219	0.3%	Yes
KMT2A		95	93	3260	2.9%	Yes
MAGED1		2	2	66	3.0%	Yes
MLH1		28	25	3581	0.7%	Yes
CCND1		7	7	3204	0.2%	Yes
BCL2		8	4	3168	0.1%	Yes
FAS		8	8	1132	0.7%	Yes
BCL2L1		2	2	3112	<0.1%	Yes
SLC45A3		3	3	86	3.5%	Yes
RHPN2		2	2	357	0.6%	No
SPOP		7	7	2867	0.2%	Yes
ABCB11		20	19	578	3.3%	No
PMS2		14	14	3100	0.5%	Yes
IRS2		26	24	2287	1.0%	Yes
LYN		6	6	1403	0.4%	Yes
PDGFRA		28	27	3585	0.8%	Yes
SH2D1A		4	4	2595	0.2%	Yes
PASK		2	2	63	3.2%	Yes
MUS81		7	7	577	1.2%	No
AR		49	44	3284	1.3%	Yes
ARAF		13	13	3224	0.4%	Yes
RRAS		2	2	1540	0.1%	Yes
ABL1		28	25	3547	0.7%	Yes
RXRA		3	3	1386	0.2%	Yes
ABL2		1	1	232	0.4%	Yes
RIT1		4	4	2715	0.1%	Yes
RICTOR		25	24	2874	0.8%	Yes
EPCAM		9	9	2720	0.3%	Yes
NCSTN		1	1	73	1.4%	Yes
PDGFRB		64	56	3282	1.7%	Yes
HDAC4		4	4	250	1.6%	Yes
RHEB		2	2	2785	<0.1%	Yes
KMT2B		33	29	1556	1.9%	Yes
NCKAP5		5	4	154	2.6%	No
DDX41		6	5	156	3.2%	Yes
SMAD2		4	4	3242	0.1%	Yes
SMAD3		5	5	2145	0.2%	Yes
SMAD4		7	6	3587	0.2%	Yes
TMPRSS2		12	12	2820	0.4%	Yes
NCOA3		14	14	1934	0.7%	Yes
PDPK1		8	7	1984	0.4%	Yes
PARP1		8	8	2098	0.4%	Yes
RHOA		4	4	2840	0.1%	Yes
CIC		70	60	2886	2.1%	Yes
DPYD		1	1	124	0.8%	No
RAD54L		9	7	2062	0.3%	Yes
SDHAF2		3	3	2923	0.1%	Yes
AMER1		25	19	2287	0.8%	Yes
CUL3		4	4	2152	0.2%	Yes
FAAP20		3	3	577	0.5%	No
LZTR1		2	2	170	1.2%	Yes
PGBD3		9	9	3592	0.3%	No
ARHGAP35		18	15	731	2.1%	Yes
RASGEF1A		1	1	63	1.6%	Yes
ARHGEF12		13	12	605	2.0%	Yes
SMYD3		4	4	1386	0.3%	Yes
RAD54B		8	8	577	1.4%	No
MAF		3	2	703	0.3%	Yes
RHOH		5	4	648	0.6%	Yes
SUFU		19	18	3219	0.6%	Yes
DMC1		2	2	577	0.3%	No
GRIN2A		31	24	2256	1.1%	Yes
KLF4		9	9	2720	0.3%	Yes
PHF8		2	2	81	2.5%	No
KDM6B		16	16	437	3.7%	No
RNASEL		1	1	44	2.3%	No
CRTC1		8	8	981	0.8%	Yes
TNFAIP3		18	18	3219	0.6%	Yes
CLTCL1		6	5	109	4.6%	Yes
WDR90		1	1	63	1.6%	Yes
GRM3		2	2	172	1.2%	Yes
ZRSR2		19	19	3020	0.6%	Yes
UROD		4	4	577	0.7%	No
SYNE1		19	16	204	7.8%	No
PRPF40B		7	7	439	1.6%	No
PTPRT		39	37	2173	1.7%	Yes
STAG1		5	5	444	1.1%	Yes
ABRAXAS1		3	3	2578	0.1%	Yes
TOP2A		1	1	170	0.6%	No
KDM5C		31	30	3114	1.0%	Yes
SMC1A		2	2	669	0.3%	Yes
TP53BP1		35	34	2047	1.7%	Yes
TP53		854	764	3590	21.3%	Yes
BABAM2		3	3	577	0.5%	No
TOP1		10	10	2261	0.4%	Yes
RBM10		21	21	2723	0.8%	Yes
GSK3B		6	6	2258	0.3%	Yes
ZNRF3		11	11	582	1.9%	Yes
USP9X		2	2	44	4.5%	No
DUSP4		2	2	1540	0.1%	Yes
NR4A3		1	1	39	2.6%	Yes
USP8		10	10	577	1.7%	Yes
NR0B1		3	3	577	0.5%	No
CHD5		2	2	155	1.3%	No
PPM1D		9	9	2530	0.4%	Yes
SHQ1		3	3	1976	0.2%	Yes
CYSLTR2		4	3	1388	0.2%	Yes
AJUBA		1	1	155	0.6%	Yes
KLLN		1	1	577	0.2%	No
ACVR1		13	13	2539	0.5%	Yes
FAN1		6	5	577	0.9%	No
GSTM5		2	2	357	0.6%	No
DAXX		20	20	2710	0.7%	Yes
LATS1		18	12	1976	0.6%	Yes
TPR		1	1	49	2.0%	Yes
SLIT2		3	3	170	1.8%	No
MTA1		8	8	577	1.4%	No
MLLT10		5	5	152	3.3%	Yes
JMJD1C		1	1	30	3.3%	No
NUP214		4	4	152	2.6%	Yes
SETBP1		31	29	1250	2.3%	Yes
GPC3		6	6	1181	0.5%	Yes
BRD3		12	12	705	1.7%	Yes
MSH6		53	50	3293	1.5%	Yes
ROS1		112	94	3372	2.8%	Yes
TRAF3		4	4	831	0.5%	Yes
TRAF2		5	5	1866	0.3%	Yes
SHOC2		5	5	1386	0.4%	Yes
SMC3		14	13	1245	1.0%	Yes
GOPC		3	3	95	3.2%	Yes
ROBO1		6	5	162	3.1%	Yes
RIF1		26	26	577	4.5%	No
KIT		28	28	3592	0.8%	Yes
DCC		6	5	198	2.5%	No
E2F3		3	3	1976	0.2%	Yes
PDCD1LG2		13	13	2573	0.5%	Yes
EBF1		1	1	223	0.4%	Yes
CD276		7	7	1976	0.4%	Yes
ARID1A		104	99	3282	3.0%	Yes
PBRM1		41	40	3114	1.3%	Yes
GLI1		41	39	2895	1.3%	Yes
GUCY1A2		1	1	44	2.3%	No
NTRK1		43	43	3276	1.3%	Yes
NTRK2		32	31	3246	1.0%	Yes
NTRK3		50	44	3275	1.3%	Yes
DDB2		4	4	1061	0.4%	Yes
DDB1		8	8	577	1.4%	No
BBC3		6	6	1976	0.3%	Yes
ZNF703		3	3	247	1.2%	Yes
GLI3		11	9	357	2.5%	No
GLI2		44	41	1087	3.8%	No
NTHL1		5	5	1963	0.3%	Yes
HIST3H3		1	1	1771	<0.1%	Yes
PAK5		26	23	2053	1.1%	Yes
TRRAP		1	1	119	0.8%	Yes
TCF7L1		4	4	400	1.0%	No
DDX3X		3	3	229	1.3%	Yes
NUP98		6	6	208	2.9%	Yes
KMT5A		1	1	1393	<0.1%	Yes
DDR2		27	27	3308	0.8%	Yes
EXO1		5	5	577	0.9%	No
MCM8		5	5	577	0.9%	No
SESN2		2	2	1386	0.1%	Yes
BCL11B		22	18	792	2.3%	Yes
RINT1		4	4	577	0.7%	No
KRAS		63	61	3592	1.7%	Yes
FGF23		1	1	254	0.4%	Yes
CSF1R		27	26	2901	0.9%	Yes
GNA11		9	9	3510	0.3%	Yes
FUS		7	7	1104	0.6%	Yes
BRCC3		1	1	657	0.2%	No
MAP3K13		14	14	2055	0.7%	Yes
KMT2D		208	174	3191	5.5%	Yes
CRTC2		1	1	357	0.3%	No
GNAS		18	16	3564	0.4%	Yes
INHBA		5	5	2015	0.2%	Yes
FYN		1	1	2012	<0.1%	Yes
GNAQ		12	12	3516	0.3%	Yes
INHA		4	2	1771	0.1%	Yes
CSF3R		21	19	2947	0.6%	Yes
PTPRO		1	1	68	1.5%	Yes
PTPRS		31	26	1976	1.3%	Yes
NSD3		11	11	1992	0.6%	Yes
